k_requested,k_avail,k_actual,xfer_k_bytes,rep,step_idx,wall_ms,cuda_event_ms,gate_ms,decode_gpu_ms,num_new_tokens,tok_per_s,decode_ratio,nvml_gpu_util,nvml_mem_util,cls_pred,text_len
128,5577,128,1048576,1,71,2902.8476,2902.8347,788.6390,2111.9099,0,0.000000,0.727530,,,1,172
128,5577,128,1048576,1,72,2754.2954,2754.2798,750.9361,2000.9023,0,0.000000,0.726466,,,1,172
128,5577,128,1048576,1,73,2889.3549,2889.3396,806.2443,2080.4949,0,0.000000,0.720055,,,1,172
128,5577,128,1048576,1,74,1869.4572,1869.4376,785.2820,1081.9669,0,0.000000,0.578760,,,1,86
128,5577,128,1048576,1,75,2933.5298,2933.5137,798.8020,2131.9050,0,0.000000,0.726737,,,1,172
128,5577,128,1048576,1,76,2916.7006,2916.6851,784.4664,2129.2498,0,0.000000,0.730020,,,1,172
128,5577,128,1048576,1,77,2974.2315,2974.2153,801.4564,2169.6736,0,0.000000,0.729490,,,1,172
128,5577,128,1048576,1,78,2955.3776,2955.3613,758.1070,2194.0298,0,0.000000,0.742386,,,1,172
128,5577,128,1048576,1,79,3015.3638,3015.3467,774.0445,2237.9590,0,0.000000,0.742185,,,1,172
128,5577,128,1048576,1,80,2990.3790,2990.3633,751.2692,2235.6423,0,0.000000,0.747612,,,1,172
128,5577,128,1048576,1,81,3014.2310,3014.2144,750.5336,2260.0447,0,0.000000,0.749791,,,1,172
128,5577,128,1048576,1,82,3003.5586,3003.5405,745.6679,2254.1357,0,0.000000,0.750488,,,1,172
128,5577,128,1048576,1,83,2999.8733,2999.8552,729.0350,2266.7712,0,0.000000,0.755622,,,1,172
128,5577,128,1048576,1,84,3011.3691,3011.3496,733.8175,2273.2739,0,0.000000,0.754897,,,1,172
128,5577,128,1048576,1,85,2016.1262,2016.1052,721.3366,1291.1298,0,0.000000,0.640401,,,1,86
128,5577,128,1048576,1,86,1998.9541,1998.9331,710.3628,1284.8893,0,0.000000,0.642781,,,1,86
128,5577,128,1048576,1,87,2963.0341,2963.0154,719.9016,2238.7615,0,0.000000,0.755564,,,1,172
128,5577,128,1048576,1,88,2950.2524,2950.2332,694.9793,2250.8057,0,0.000000,0.762920,,,1,172
128,5577,128,1048576,1,89,2956.2026,2956.1838,679.5283,2272.0925,0,0.000000,0.768585,,,1,172
128,5577,128,1048576,1,90,2956.1727,2956.1538,677.1328,2274.2554,0,0.000000,0.769324,,,1,172
128,5577,128,1048576,1,91,2964.5269,2964.5078,674.4849,2285.1401,0,0.000000,0.770828,,,1,172
128,5577,128,1048576,1,92,2982.5088,2982.4893,669.0552,2308.4172,0,0.000000,0.773985,,,1,172
128,5577,128,1048576,1,93,2971.0514,2971.0315,659.4370,2306.4263,0,0.000000,0.776300,,,1,172
128,5577,128,1048576,1,94,2964.9540,2964.9346,657.8203,2301.8528,0,0.000000,0.776354,,,1,172
128,5577,128,1048576,1,95,2012.1315,2012.1112,649.0155,1358.2681,0,0.000000,0.675039,,,1,86
128,5577,128,1048576,2,64,1225.3140,1225.2803,623.5523,600.9813,0,0.000000,0.490471,,,1,77
128,5577,128,1048576,2,65,1098.3516,1098.3289,502.9952,594.3033,0,0.000000,0.541087,,,1,57
128,5577,128,1048576,2,66,1206.4311,1206.4084,625.0518,580.2520,0,0.000000,0.480966,,,1,57
128,5577,128,1048576,2,67,1137.0561,1137.0332,383.6723,751.9935,0,0.000000,0.661351,,,1,86
128,5577,128,1048576,2,68,2192.2633,2192.2444,551.6382,1638.6863,0,0.000000,0.747486,,,1,172
128,5577,128,1048576,2,69,2491.8791,2491.8494,563.2591,1926.4161,0,0.000000,0.773078,,,1,172
128,5577,128,1048576,2,70,2254.5203,2254.4912,571.8263,1680.3398,0,0.000000,0.745320,,,1,172
128,5577,128,1048576,2,71,2301.6275,2301.6079,580.3959,1718.7708,0,0.000000,0.746763,,,1,172
128,5577,128,1048576,2,72,3673.8881,3673.8755,955.9208,2715.4604,0,0.000000,0.739124,,,1,172
128,5577,128,1048576,2,73,3671.9707,3671.9551,1030.4003,2638.8394,0,0.000000,0.718644,,,1,172
128,5577,128,1048576,2,74,2391.8955,2391.8750,1038.2368,1351.3370,0,0.000000,0.564965,,,1,86
128,5577,128,1048576,2,75,3577.9036,3577.8870,998.6464,2576.3306,0,0.000000,0.720067,,,1,172
128,5577,128,1048576,2,76,3512.8772,3512.8586,991.8197,2517.9641,0,0.000000,0.716781,,,1,172
128,5577,128,1048576,2,77,3443.1662,3443.1460,927.1350,2512.7634,0,0.000000,0.729783,,,1,172
128,5577,128,1048576,2,78,3385.5679,3385.5486,918.3423,2463.8953,0,0.000000,0.727764,,,1,172
128,5577,128,1048576,2,79,2766.5275,2766.5066,885.6488,1877.3295,0,0.000000,0.678587,,,1,172
128,5577,128,1048576,2,80,2093.0911,2093.0688,391.4303,1698.0109,0,0.000000,0.811246,,,1,172
128,5577,128,1048576,2,81,2159.7383,2159.7148,430.0081,1725.9250,0,0.000000,0.799136,,,1,172
128,5577,128,1048576,2,82,2329.2805,2329.2605,476.2703,1849.0880,0,0.000000,0.793845,,,1,172
128,5577,128,1048576,2,83,2412.2376,2412.2180,524.7637,1883.4203,0,0.000000,0.780777,,,1,172
128,5577,128,1048576,2,84,2160.0384,2160.0164,401.8188,1754.0123,0,0.000000,0.812028,,,1,172
128,5577,128,1048576,2,85,1462.3013,1462.2792,501.0093,957.5358,0,0.000000,0.654814,,,1,86
128,5577,128,1048576,2,86,1541.1819,1541.1595,501.7640,1035.5198,0,0.000000,0.671900,,,1,86
128,5577,128,1048576,2,87,2309.2096,2309.1895,471.0964,1833.6006,0,0.000000,0.794038,,,1,172
128,5577,128,1048576,2,88,2493.4770,2493.4578,528.2033,1960.6324,0,0.000000,0.786305,,,1,172
128,5577,128,1048576,2,89,2486.6541,2486.6355,531.1574,1950.7186,0,0.000000,0.784475,,,1,172
128,5577,128,1048576,2,90,2587.4933,2587.4751,553.4832,2029.0223,0,0.000000,0.784165,,,1,172
128,5577,128,1048576,2,91,2905.3882,2905.3711,525.6162,2374.7117,0,0.000000,0.817347,,,1,172
