k_requested,k_actual,k_avail,xfer_k_bytes,xfer_k_ms,rep,step_idx,wall_ms,gpu_ms,gpu_ratio_pct,nvml_gpu_util,nvml_mem_util,cls_pred,text_len
128,128,34645,1048576,0.06811507046222687,0,50,3445.5592,3445.4756,99.9976,31,16,1,27
128,128,35321,1048576,0.06354786455631256,0,51,3512.7587,3512.6748,99.9976,24,3,1,27
128,128,35997,1048576,0.07261335849761963,0,52,3878.5692,3878.4802,99.9977,27,15,1,27
128,128,36673,1048576,0.06356090307235718,0,53,3629.8204,3629.7349,99.9976,13,6,1,27
128,128,37349,1048576,0.06235204637050629,0,54,3656.9393,3656.8528,99.9976,16,3,1,27
128,128,38025,1048576,0.06477348506450653,0,55,3712.9516,3712.8662,99.9977,97,79,1,27
128,128,38701,1048576,0.06384588778018951,0,56,3699.6535,3699.5674,99.9977,68,46,1,27
128,128,39377,1048576,0.06422773003578186,0,57,3733.3353,3733.2493,99.9977,95,71,1,27
128,128,40053,1048576,0.08734874427318573,0,58,3796.0822,3795.9922,99.9976,94,71,1,27
128,128,40729,1048576,0.06652995944023132,0,59,3845.3083,3845.2207,99.9977,69,48,1,27
128,128,41405,1048576,0.07173977792263031,0,60,3903.4352,3903.3479,99.9978,20,11,1,27
128,128,42081,1048576,0.07869116961956024,0,61,4027.5751,4027.4834,99.9977,98,67,1,27
128,128,42757,1048576,0.06706453859806061,0,62,3997.2960,3997.2070,99.9978,10,4,1,27
128,128,43433,1048576,0.08989870548248291,0,63,4054.8582,4054.7678,99.9978,75,44,1,27
128,128,22477,1048576,0.062230974435806274,1,32,2101.8117,2101.7410,99.9966,56,15,1,29
128,128,23153,1048576,0.06456859409809113,1,33,2177.4692,2177.4126,99.9974,45,12,1,27
128,128,23829,1048576,0.06366521120071411,1,34,2222.2985,2222.2412,99.9974,55,16,1,27
128,128,24505,1048576,0.06625615060329437,1,35,2680.9647,2680.9006,99.9976,91,27,1,27
128,128,25181,1048576,0.06303563714027405,1,36,2485.4802,2485.4175,99.9975,41,10,1,27
128,128,25857,1048576,0.06393902003765106,1,37,2362.4323,2362.3687,99.9973,24,4,1,27
128,128,26533,1048576,0.06506405770778656,1,38,2416.9837,2416.9241,99.9975,84,74,1,27
128,128,27209,1048576,0.06573647260665894,1,39,2508.5551,2508.4939,99.9976,33,23,1,27
128,128,27885,1048576,0.0628158450126648,1,40,2599.4883,2599.4265,99.9976,33,22,1,27
128,128,28561,1048576,0.064140185713768,1,41,2869.8705,2869.8049,99.9977,88,77,1,27
128,128,29237,1048576,0.06476975977420807,1,42,2719.4918,2719.4292,99.9977,33,22,1,27
128,128,29913,1048576,0.06664544343948364,1,43,2811.5502,2811.4878,99.9978,28,17,1,27
128,128,30589,1048576,0.06345845758914948,1,44,2855.5004,2855.4365,99.9978,87,76,1,27
